도서명,저자,카테고리,내용
처음 읽는 삼국지,이문열,"용기·리더십, 역사","위·촉·오 세 나라가 천하를 놓고 다투던 시기를 그린 중국 대표 고전을 어린이 독자가 읽기 쉽도록 풀어 쓴 책. 유비, 관우, 장비, 제갈량 등 인물 분석과 리더십, 동양적 전략 사유를 배울 수 있다."
과학자가 가져야 할 덕목,조이 슐랭거,"과학·자연, 철학","과학 연구가 단순한 지식 탐구를 넘어 윤리적 책임을 동반해야 함을 어린 독자에게 일러 주는 책. 진리에 대한 정직성, 인내, 호기심 등 과학자에게 필요한 덕목을 사례와 함께 소개한다."
정의란 무엇인가 (어린이),마이클 샌델,"사회·정의, 철학",하버드 마이클 샌델 교수의 정치 철학 강의를 어린이 눈높이로 풀어 낸 책. 공정함의 기준과 도덕적 딜레마를 일상적인 사례로 함께 고민하며 시민 의식을 키울 수 있다.
연금술사,파울로 코엘료,"성장, 상상력, 철학","양치기 소년 산티아고가 자신의 꿈인 보물을 찾아 사막을 건너는 여정에서 자아의 신화를 깨달아 가는 이야기. 꿈의 실현과 모험, 자기 성장이라는 보편적 주제를 우화 형식으로 그려 낸 파울로 코엘료의 세계적 베스트셀러이다."
침묵의 봄 (어린이용),레이첼 카슨,"과학·자연, 사회·정의",농약 DDT가 새들을 사라지게 만든 '침묵하는 봄'의 현실을 고발하며 환경 운동의 시작을 알린 책의 어린이용 판본. 생태계 파괴의 경고와 시민 과학의 필요성을 알기 쉽게 들려준다.
사자와 마녀와 옷장,C.S. 루이스,"상상력, 용기·리더십",시골 저택의 옷장 속에서 발견한 마법의 나라 나니아를 배경으로 네 남매가 백색 마녀와 싸우는 판타지 모험담. 선악의 대립 속에서 용기와 희생의 의미를 깨우치는 「나니아 연대기」 시리즈의 첫 권이다.
난중일기 (어린이용),이순신,"용기·리더십, 역사","임진왜란 7년 동안 이순신 장군이 기록한 친필 일기의 어린이용 풀이. 위기 속에서도 흔들리지 않은 리더십과 철저한 기록 정신, 나라와 백성을 위한 헌신이 고스란히 담겨 있다."
행복한 청소부,모니카 페트,"경제, 예술, 철학","거리 표지판을 닦는 청소부가 그곳에 적힌 음악가와 작가들의 이름을 공부하며 자신만의 행복을 찾아가는 그림책. 직업의 자부심과 예술적 삶, 진정한 만족이 어디에서 오는지를 일깨운다."
하늘을 나는 교실,에리히 캐스트너,"가족·우정, 성장","크리스마스를 앞두고 기숙학교 아이들이 직접 쓰고 공연하는 연극 「하늘을 나는 교실」을 중심으로 펼쳐지는 우정과 성장의 이야기. 진정한 친구, 소속감, 어려움 앞에서의 태도를 따뜻하게 그려 낸 독일 아동 문학의 고전이다."
밥데기 죽데기,권정생,"가족·우정, 공감·다양성, 철학","전쟁과 분단의 그늘 속에서 살아가는 할머니와 두 아이의 이야기를 통해 가난과 소외, 그리고 생명의 존엄을 그린 권정생의 동화이다."
강아지똥,권정생,"공감·다양성, 철학",길가에 버려진 강아지똥이 자신의 쓸모를 의심하다 민들레꽃의 거름이 되며 비로소 자신의 의미를 깨닫는 이야기. 가장 하찮아 보이는 존재의 소중함을 일깨우는 권정생의 대표 그림 동화이다.
몽실 언니,권정생,"가족·우정, 사회·정의, 공감·다양성",해방 직후와 한국 전쟁의 격동기를 배경으로 다리가 불편한 소녀 몽실이가 어린 동생들을 돌보며 살아가는 이야기. 가난과 전쟁의 상처 속에서도 꺾이지 않는 생명력과 가족애를 그린 한국 아동 문학의 명작이다.
너도 하늘말나리야,이금이,"가족·우정, 성장","한적한 시골 마을 달밭마을로 옮겨 온 세 아이가 각자의 상처를 안은 채 서로를 알아 가며 성장해 가는 이야기. 가족의 결핍과 우정, 자기 발견을 섬세하게 그려 낸 청소년 소설이다."
알로하 나의 엄마들,이금이,"가족·우정, 성장, 공감·다양성","일제 강점기 사진 신부로 하와이에 건너간 세 여성의 삶을 통해 디아스포라 한인 여성의 역사를 복원한 청소년 소설. 가족, 자매애, 정체성을 따뜻하게 그려 낸다."
그 많던 싱아는 누가 다 먹었을까,박완서,"철학, 성장, 역사",일제 말기 개성에서 시작해 해방과 분단을 거치는 동안의 유년기를 회상한 박완서의 자전적 성장 소설. 한국 현대사 속 한 소녀의 유년 기억과 도덕적 성찰이 담겨 있다.
책과 노니는 집,이영서,"역사, 성장","천주교 박해기 조선을 배경으로, 책을 베껴 쓰던 필사쟁이 아버지를 잃은 소년 장이가 책방 심부름꾼으로 일하며 책을 통해 세상을 알아 가는 이야기. 제9회 문학동네어린이문학상 대상 수상작이다."
명혜,김소연,"역사, 성장","일제 강점기를 배경으로, 여성이라는 이유로 인습에 따라야 했던 소녀 명혜가 서울로 유학을 떠나 의사라는 꿈을 키워 가는 이야기. 배움에 대한 열정과 주체적 삶을 그린 어린이 역사 소설이다."
나쁜 어린이표,황선미,"성장, 사회·정의","매일 학교에서 '나쁜 어린이표'를 받는 아이의 시선으로, 어른이 만든 규칙과 평가 제도를 돌아보게 하는 동화. 규칙과 자아의 충돌을 어린이 눈높이로 풀어 낸 황선미의 대표작이다."
초대받은 아이들,황선미,"성장, 가족·우정","생일 초대장을 둘러싸고 일어나는 작은 갈등을 통해 친구 관계와 자기 표현, 학교 안의 보이지 않는 규칙을 짚어 보는 황선미의 동화이다."
양반전,박지원,"사회·정의, 역사",가난한 양반이 곡식을 갚지 못해 신분을 팔게 되는 과정을 풍자한 박지원의 한문 단편. 조선 후기 신분제와 양반 사회의 허위를 비판하며 사회 비판 의식을 일깨우는 고전이다.
허생전,박지원,"사회·정의, 역사, 경제",글만 읽던 가난한 선비 허생이 거상 변씨에게 큰돈을 빌려 매점매석과 무인도 경영을 시도하는 이야기. 박지원이 조선 후기 경제와 정치 현실을 날카롭게 비판한 한문 단편이다.
구운몽,김만중,"철학, 역사","양소유가 여덟 명의 여인들과 인연을 맺으며 부귀공명을 누리지만, 결국 모든 것이 한바탕 꿈이었음을 깨닫는 이야기. 김만중이 인생의 무상함과 불교적 진리를 담아 낸 조선 시대 대표 소설이다."
홍길동전,허균,"사회·정의, 역사","서자로 태어나 차별받던 홍길동이 의적이 되어 율도국을 세우는 이야기. 신분 차별에 항거한 최초의 한글 소설로, 사회 비판과 평등의 가치를 담고 있다."
심청전,작자 미상,"가족·우정, 역사",아버지의 눈을 뜨게 하기 위해 인당수에 몸을 던진 효녀 심청이 황후가 되어 아버지를 다시 만나는 이야기. 효 사상과 인간애를 그린 조선 시대 대표 판소리계 고전 소설이다.
콩 너는 죽었다,김용택,"과학·자연, 예술",섬진강 시인 김용택이 농촌 풍경과 어린 시절의 마음을 담아 낸 동시집. 자연과 일상을 관찰하는 따뜻한 시선이 빛난다.
꽃이파리가 된 나비,박화목,"과학·자연, 예술",시인 박화목의 동시선집. 자연을 소재로 한 시와 전래 동요풍의 노래 등 초등 저학년에게 알맞은 동시 50여 편이 수록되어 있다.
독 짓는 늙은이,황순원,"예술, 사회·정의",평생을 옹기 짓기에 바친 늙은 송 영감이 마지막 독을 빚으며 자신의 생애를 마감하는 이야기. 장인의 자존과 삶의 비극성을 응축적으로 그려 낸 황순원의 단편이다.
수난이대,하근찬,"예술, 역사, 사회·정의",일제 강점기 강제 징용으로 한쪽 팔을 잃은 아버지와 한국 전쟁에서 다리를 잃은 아들이 함께 외나무다리를 건너는 이야기. 한국 현대사의 비극과 그것을 함께 짊어진 부자의 모습을 상징적으로 그린 단편 소설이다.
고향,현진건,"예술, 사회·정의",일제 강점기 기차 안에서 만난 한 사내의 이야기를 통해 식민지 농촌의 피폐한 현실을 그려 낸 현진건의 단편 소설. 짧은 분량에 식민지 민중의 비참함과 사회 비판이 압축되어 있다.
지엠오 아이,문선이,"과학·자연, 사회·정의, 공감·다양성","유전자 조작(GMO)이 일상화된 미래 사회를 배경으로, 정상 유전자를 가진 할아버지가 유전자 조작으로 태어난 소년 '나무'를 만나 본연의 인간성을 회복해 가는 이야기. 제9회 좋은 어린이책 원고 공모 대상작이다."
짜장 짬뽕 탕수육,김영주,"가족·우정, 공감·다양성",새 학교로 전학 온 아이와 그를 받아들이는 반 친구들의 마음을 섬세하게 잡아 낸 학교생활 동화. 교사이기도 한 작가가 어린이들의 학교생활을 유심히 관찰해 풀어 낸 이야기다.
양파의 왕따일기,문선이,"공감·다양성, 가족·우정",초등학교 교실에서 벌어지는 따돌림 문제를 다룬 동화. 이유 없는 왕따로 고통받는 아이들의 내면을 섬세하게 표현해 EBS 드라마로도 제작되었으며 교과서 수록작이다.
시간 고양이,박미연,"상상력, 과학·자연, 공감·다양성","2085년 동물이 사라진 한반도의 디스토피아를 배경으로, 슬럼가의 소녀 서림이 마지막 고양이 은실을 발견하며 펼쳐지는 SF 환경 동화. 생명과 공존의 가치를 담은 시리즈이다."
호랑이 빵집,서지원,"상상력, 역사",호랑이가 운영하는 신비한 빵집을 배경으로 어린이에게 역사 상식을 달콤한 디저트와 함께 들려주는 동화 시리즈. 상상력과 역사 학습을 함께 풀어 낸다.
고추장 심부름,한소곤,"상상력, 가족·우정",평범한 일상에서 벌어지는 고추장 심부름이라는 작은 사건을 통해 어린이의 마음과 자라남을 그려 낸 동화. 제1회 주니어김영사 어린이문학상 대상 수상작이다.
전태일,다수,"역사, 사회·정의, 용기·리더십","1970년 청계천 평화시장에서 ""근로기준법을 지켜라""를 외치며 분신한 노동 운동가 전태일의 삶을 담은 위인전. 노동 인권의 시작을 알린 그의 헌신을 통해 정의와 용기를 배운다."
안중근,다수,"역사, 용기·리더십",1909년 하얼빈역에서 이토 히로부미를 사살하고 동양 평화론을 주창하다 순국한 독립운동가 안중근의 일대기. 조국과 평화를 위한 그의 신념과 희생을 어린 독자에게 전한다.
유관순,다수,"역사, 용기·리더십",3·1 운동 당시 천안 아우내 장터에서 만세 운동을 주도하다 순국한 유관순 열사의 일대기. 일제 강점기에 굴하지 않은 한 소녀의 용기와 애국심을 그린 위인전이다.
세종대왕,다수,"역사, 용기·리더십","훈민정음 창제, 측우기·앙부일구 등 과학 발명, 백성을 사랑한 정치로 조선의 황금기를 연 세종대왕의 일대기. 애민 정신과 리더십, 학문 사랑을 배울 수 있다."
장영실,다수,"역사, 용기·리더십, 과학·자연",노비 출신에서 종3품에 오른 조선의 과학자 장영실의 일대기. 신분의 한계를 넘어 자격루·앙부일구 등 발명품을 만들어 낸 그의 끈기와 과학 정신을 다룬 위인전이다.
차대기를 찾습니다,이금이,"성장, 가족·우정",자신의 별명 때문에 소심해진 차대기가 친구와 가족과의 관계 속에서 잃었던 자존감을 되찾아 가는 이야기. 이름과 정체성을 둘러싼 어린이의 마음을 따뜻하게 그려 낸 이금이의 작품이다.
나의 라임 오렌지나무,J.M. 바스콘셀로스,"가족·우정, 성장, 철학",가난한 가정에서 외로움을 견디며 자란 다섯 살 소년 제제가 라임 오렌지나무 '밍기뉴'와 친구가 되고 따뜻한 어른 '뽀르뚜가'를 만나면서 사랑과 슬픔을 배워 가는 자전적 소설이다.
키다리 아저씨,진 웹스터,"가족·우정, 성장",고아원에서 자란 주디 애벗이 얼굴 모르는 후원자 '키다리 아저씨'에게 편지를 보내며 대학 생활과 사랑을 펼쳐 가는 서간체 소설. 자기 성장과 따뜻한 인연을 그린 고전이다.
톰 소여의 모험,마크 트웨인,"상상력, 가족·우정","미국 미시시피강변의 작은 마을에서 자란 장난꾸러기 소년 톰 소여가 친구들과 함께 보물찾기, 살인 사건 목격 등 다양한 모험을 펼치는 마크 트웨인의 대표작이다."
어린 임금의 눈물,이규희,"역사, 가족·우정",열두 살에 왕위에 올랐다가 숙부 수양 대군에게 왕위를 빼앗기고 영월에서 짧은 생을 마감한 단종의 슬픈 이야기를 그린 장편 역사 동화이다.
하이디,요한나 슈피리,"가족·우정, 과학·자연",알프스 산골 할아버지 댁에서 자유롭게 자라던 소녀 하이디가 도시로 보내졌다가 다시 산으로 돌아오며 친구 클라라까지 치유해 가는 이야기. 자연의 힘과 따뜻한 우정을 담은 스위스 고전이다.
사람은 무엇으로 사는가,레프 톨스토이,"철학, 공감·다양성",가난한 구두장이 부부의 집에 거두어진 천사 미하일이 신이 던진 세 가지 물음의 답을 깨닫게 되는 이야기. 사랑이야말로 사람을 살게 한다는 톨스토이의 메시지를 담은 단편이다.
부활 (어린이용),레프 톨스토이,"철학, 사회·정의",젊은 시절 자신이 버린 카츄샤를 법정에서 다시 만난 귀족 네흘류도프가 자신의 죄를 깨닫고 영혼의 부활을 추구해 가는 이야기. 톨스토이의 후기 사상이 담긴 장편을 어린이 눈높이로 풀어 냈다.
체호프 단편,안톤 체호프,"철학, 예술",19세기 러시아의 평범한 일상과 사람들의 내면을 섬세하게 그려 낸 안톤 체호프의 단편들을 모은 책. 짧은 분량에 인생의 아이러니와 인간의 본성을 담아 낸 작품들이 수록되어 있다.
나니아 연대기,C.S. 루이스,"상상력, 용기·리더십, 철학",옷장 너머 마법의 나라 나니아를 무대로 펼쳐지는 일곱 권의 판타지 서사시. 페번시 남매를 비롯한 아이들이 사자 아슬란과 함께 선과 악의 대결을 펼치며 용기와 희생의 의미를 배워 간다.
해리 포터,J.K. 롤링,"상상력, 가족·우정, 용기·리더십",부모를 잃고 이모집에서 자라던 소년 해리 포터가 자신이 마법사임을 알게 되며 호그와트 마법학교에서 친구들과 함께 어둠의 마왕 볼드모트에 맞서는 일곱 권 분량의 판타지 시리즈이다.
타임 머신,H.G. 웰스,"상상력, 과학·자연",시간을 여행하는 기계를 발명한 한 과학자가 80만 년 후의 미래로 떠나 인류의 운명을 목격하는 이야기. 과학적 상상력과 사회 비판이 어우러진 SF 문학의 원조이다.
이솝 이야기,이솝,"철학, 상상력","고대 그리스의 이야기꾼 이솝이 들려준 짧은 우화 모음. 「토끼와 거북이」, 「양치기 소년」 등 동물들을 등장시켜 인간 본성과 도덕적 교훈을 일깨우는 세계적 고전이다."
안데르센 동화,한스 크리스티안 안데르센,"철학, 상상력","「인어공주」, 「미운 오리 새끼」, 「성냥팔이 소녀」 등 안데르센이 남긴 환상적이면서도 슬프고 따뜻한 동화들을 모은 작품집. 인간의 마음을 깊이 어루만지는 서정성이 특징이다."
탈무드,작자 다수,"철학, 가족·우정","유대인의 율법과 일상의 지혜를 담은 방대한 구전과 해석을 정리한 책. 짧은 이야기와 격언을 통해 가족, 교육, 노동, 자선 등 삶의 다양한 영역에서 지혜를 얻을 수 있다."
아라비안 나이트,작자 미상,"상상력, 역사","천 일 동안 매일 밤 셰에라자드가 페르시아 왕에게 들려준 이야기 모음. 알라딘, 신밧드, 알리바바 등 환상과 모험으로 가득한 중동의 대표 고전이다."
책 먹는 여우,프란치스카 비어만,"상상력, 예술",책을 너무 사랑한 나머지 책에 소금과 후추를 뿌려 먹어 버리는 여우 아저씨가 결국 자신이 직접 책을 쓰게 된다는 유쾌한 발상의 그림 동화. 독서의 즐거움을 알려 준다.
까만 아기 양,엘리자베스 쇼,"공감·다양성, 가족·우정","흰 양 떼 속의 까만 아기 양이 자신의 다름 때문에 외로움을 느끼지만, 결국 그 다름이 무리를 구하게 되는 이야기. 다양성과 자기 자신에 대한 자존감을 일깨우는 그림책이다."
찰리와 초콜릿 공장,로알드 달,"상상력, 가족·우정",가난한 소년 찰리가 황금 티켓을 손에 넣어 신비한 윌리 웡카의 초콜릿 공장을 견학하며 벌어지는 유쾌하고도 교훈적인 모험. 로알드 달 특유의 기발한 상상력이 빛난다.
앵무새 죽이기 (청소년),하퍼 리,"사회·정의, 용기·리더십, 공감·다양성","1930년대 미국 남부 앨라배마의 작은 마을을 배경으로, 흑인을 변호하는 변호사 애티커스 핀치와 그의 딸 스카웃의 시선으로 인종 차별과 정의를 그린 청소년·청년 소설이다."
빨간 머리 앤,L.M. 몽고메리,"성장, 가족·우정",캐나다 프린스에드워드섬의 초록 지붕 집에 입양된 고아 소녀 앤이 풍부한 상상력과 활달한 성격으로 마을 사람들에게 사랑받으며 성장해 가는 이야기. 자기 자신을 사랑하며 살아가는 한 소녀의 모습을 그린 고전이다.
모비 딕,허먼 멜빌,"상상력, 철학",한쪽 다리를 빼앗긴 에이허브 선장이 거대한 흰 향유고래 모비 딕을 쫓아 광기 어린 복수에 나서는 이야기. 인간의 집착과 자연 앞의 한계를 그린 미국 문학의 거대한 상징적 작품이다.
역사 인물 신문,이광희 등,"역사, 사회·정의",역사 속 인물들의 일생을 가상의 신문 형식으로 구성해 흥미롭게 풀어 낸 어린이 역사 시리즈. 인물의 업적과 시대 배경을 한눈에 파악할 수 있다.
한국사 편지 시리즈,박은봉,"역사, 사회·정의",한국사의 흐름을 여러 권으로 나누어 어머니가 아이에게 들려주는 편지 형식으로 풀어 낸 박은봉의 역사 입문 시리즈. 선사 시대부터 현대사까지 핵심 사건과 인물을 따뜻하게 안내한다.
둥글둥글 지구촌 시리즈,다수,"사회·정의, 공감·다양성","세계 여러 나라의 문화, 종교, 정치, 환경 등 다양한 주제를 어린이 눈높이로 풀어 낸 국제 이해 교육 시리즈. 우리와 다른 문화에 대한 공감과 지구촌 시민 의식을 길러 준다."
먼나라 이웃나라,이원복,"역사, 사회·정의","만화 형식으로 유럽 각국과 미국, 일본 등의 역사·문화·정치·경제를 흥미롭게 풀어 낸 이원복 교수의 대표 시리즈. 한 권씩 한 나라를 깊이 있게 만나며 국제 감각을 키울 수 있다."
소크라테스 아저씨네 빵가게,함윤미,"철학, 성장","빵가게를 운영하는 소크라테스 아저씨와 아이들이 일상 속 질문을 통해 자기 자신, 친구, 사회에 대해 함께 생각해 가는 어린이용 철학 동화이다."
처음 만나는 채근담,홍자성 원작,"철학, 역사",명나라 홍자성이 쓴 동양 처세서 『채근담』을 어린이가 쉽게 만날 수 있도록 풀어 낸 책. 마음을 다스리고 더불어 살아가는 옛 사람의 지혜를 짧은 글로 만난다.
돈의 모든 것,다수,"경제, 성장","화폐의 역사, 저축과 투자, 합리적 소비까지 어린이에게 필요한 금융 교육 내용을 종합적으로 소개하는 책. 돈에 대한 올바른 가치관을 길러 준다."
경제를 말해요,다수,"경제, 사회·정의","시장, 가격, 분배, 세금 등 어린이가 일상 속에서 마주치는 경제 개념을 쉽게 설명해 주는 책. 사회 속에서 경제가 어떻게 작동하는지 알려 준다."
정의 수업,김숙분,"사회·정의, 철학",학교와 사회에서 부딪치는 다양한 사례를 통해 정의의 의미와 공정함의 기준을 함께 생각해 보는 어린이용 시민 교육서이다.
열두 살에 처음 만난 정치,정연숙,"사회·정의, 성장","정치란 무엇이며 왜 우리에게 필요한지, 민주주의가 어떻게 작동하는지를 어린이가 이해할 수 있도록 풀어 낸 입문서이다."
게임 체인저,다수,"사회·정의, 용기·리더십","사회의 흐름을 바꾼 인물이나 사건을 통해 변화를 이끌어 내는 힘과 시민의 참여, 도전 정신을 일깨우는 어린이용 교양서이다."
선량한 차별주의자,김지혜,"사회·정의, 공감·다양성","일상 속에서 자신도 모르게 저지르는 차별과 편견을 짚어 보며, 평등한 사회를 만들기 위해 무엇을 성찰해야 하는지 알려 주는 책이다."
지구촌 인권 이야기,다수,"사회·정의, 공감·다양성","어린이 노동, 난민, 여성 차별 등 지구촌 곳곳에서 벌어지는 인권 문제와 그 해결을 위한 노력을 어린이 눈높이로 소개하는 책이다."
별점 반장 나우주,이나영,"가족·우정, 공감·다양성, 성장","친구들의 별점에 따라 등수가 매겨지는 교실 속에서 반장이 된 나우주가 차별과 인기, 우정 사이에서 흔들리며 자신만의 답을 찾아가는 이야기이다."
뉴스 믿어도 될까,구본권,"사회·정의, 성장","가짜 뉴스가 넘치는 시대, 어린이가 뉴스를 비판적으로 읽고 정보를 가려내는 법을 알려 주는 미디어 리터러시 입문서이다."
디지털 성범죄 수사대,다수,"사회·정의, 공감·다양성","디지털 공간에서 벌어지는 성범죄의 유형과 대응 방법, 피해를 막기 위한 사회적 노력 등을 청소년이 알기 쉽게 소개하는 책이다."
지리 이야기,이선배,"과학·자연, 사회·정의","지구의 자연 환경, 기후, 사람과 문화가 어떻게 어우러져 살아가는지를 흥미로운 사례로 풀어 낸 어린이 지리 입문서이다."
편의점을 털어라 지리편,다수,"과학·자연, 사회·정의","익숙한 편의점을 무대로 지리 지식을 흥미롭게 풀어 낸 시리즈의 지리편. 위치, 지형, 기후 등 핵심 개념을 추리극 형태로 만난다."
첫 세계 지도책,다수,"과학·자연, 역사","어린 독자가 처음 만나는 세계 지도책. 각 대륙과 나라의 위치, 문화, 자연을 한눈에 보여 주며 세계로 향한 호기심을 길러 준다."
식물지능의 경이로운 세계,스테파노 만쿠소,"과학·자연, 철학","식물도 감각하고, 기억하며, 소통한다는 식물 신경 생물학의 놀라운 연구를 소개한 책. 식물에 대한 새로운 시각과 생태계에 대한 경의를 일깨운다."
우리 몸속 탐험,다수,"과학·자연, 성장","심장, 폐, 뇌, 소화기관 등 우리 몸 구석구석을 모험하듯 탐험하며 인체의 신비를 알려 주는 어린이 인체 입문서이다."
원소가 뭐길래,장홍제,"과학·자연, 상상력","주기율표를 처음 만나는 어린이를 위해 각 원소의 발견 이야기와 성질, 쓰임을 흥미롭게 풀어 낸 화학 입문서이다."
뉴턴의 사과,다수,"과학·자연, 역사","만유인력의 법칙을 발견한 아이작 뉴턴의 일생을 통해 과학적 사고와 호기심, 끈기의 의미를 들려주는 어린이 과학 위인서이다."
전기의 마법사 테슬라,다수,"과학·자연, 역사",교류 전기와 무선 송전을 꿈꾸었던 발명가 니콜라 테슬라의 일생을 따라가며 과학과 상상력의 힘을 만나게 해 주는 책이다.
환경 상식,다수,"과학·자연, 사회·정의","기후 변화, 미세 먼지, 플라스틱 오염 등 우리가 알아야 할 환경 문제를 어린이 눈높이로 정리한 환경 입문서이다."
이러다 지구에 플라스틱만 남겠어,닐 레이턴,"과학·자연, 사회·정의","일상 곳곳에 넘쳐 나는 플라스틱이 어떻게 만들어지고 어떤 문제를 일으키며, 우리가 무엇을 할 수 있는지 그림과 함께 알려 주는 환경 그림책이다."
